No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
205,윤중환,2011,S,,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-130.1,-0.05,,"2,400"
206,신명철,2011,삼,2B,117,382,331,38,69,11,2,2,90,39,13,10,38,3,0,68,10,8,2,.208,.294,.272,.566,.271,56.9,-0.05,,"16,000"
207,채상병,2011,삼,C,63,124,109,11,21,1,1,3,33,9,1,1,7,1,0,20,4,5,2,.193,.244,.303,.546,.245,39.2,-0.06,,"7,100"
210,최훈락,2011,K,1B,35,54,49,9,11,4,0,0,15,2,0,0,3,2,0,12,3,0,0,.224,.296,.306,.602,.291,69.8,-0.06,,"3,000"
211,김문호,2011,롯,LF,19,29,26,4,6,1,0,0,7,1,1,1,3,0,1,7,0,0,0,.231,.310,.269,.580,.270,56.2,-0.06,,"2,400"
214,이숭용,2011,넥,1B,88,172,146,7,37,7,0,0,44,12,1,0,18,1,1,18,4,6,1,.253,.337,.301,.639,.299,75.0,-0.07,,"17,000"
216,이승주,2011,넥,LF,3,12,11,0,2,0,0,0,2,0,0,0,1,0,0,3,0,0,0,.182,.250,.182,.432,.220,20.9,-0.07,,"2,400"
217,현재윤,2011,삼,C,38,70,61,7,13,1,0,0,14,5,0,0,3,2,0,7,0,4,0,.213,.273,.230,.502,.236,32.7,-0.08,,"9,000"
218,신현철,2011,넥,2B,13,12,9,1,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,.000,.250,.000,.250,.185,-3.1,-0.09,,"2,400"
219,정보명,2011,롯,LF,10,18,16,2,2,2,0,0,4,3,0,0,1,1,0,6,0,0,0,.125,.222,.250,.472,.231,29.7,-0.09,,"6,000"
221,양영동,2011,L,CF,51,83,70,9,11,2,0,0,13,2,4,1,12,1,0,20,1,0,0,.157,.289,.186,.475,.250,41.5,-0.09,,"2,400"
222,최경철,2011,S,C,20,33,28,2,4,3,0,0,7,4,0,0,3,0,0,8,0,1,1,.143,.219,.250,.469,.216,18.2,-0.10,,"3,300"
223,김태훈,2011,K,C,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,.000,.000,.000,.000,.000,-128.5,-0.10,,"2,500"
224,양종민,2011,롯,SS,58,64,55,11,13,2,0,0,15,5,0,3,5,0,0,21,1,4,0,.236,.300,.273,.573,.263,51.2,-0.10,,"2,500"
226,박경완,2011,S,C,10,16,15,0,2,0,0,0,2,1,0,0,1,0,0,6,2,0,0,.133,.188,.133,.321,.165,-17.0,-0.12,,"50,000"
228,백승룡,2011,한,2B,38,64,51,7,9,2,0,0,11,3,1,1,7,2,0,13,1,4,0,.176,.300,.216,.516,.250,42.2,-0.13,,"2,700"
229,이해창,2011,넥,C,14,11,10,0,1,0,0,0,1,1,0,1,1,0,0,5,0,0,0,.100,.182,.100,.282,.153,-24.9,-0.13,,"2,400"
230,허준,2011,넥,C,55,102,89,5,17,2,0,1,22,11,0,1,7,2,0,25,2,4,0,.191,.265,.247,.513,.243,36.4,-0.13,,"3,600"
231,유선정,2011,넥,C,37,50,39,1,3,0,1,0,5,1,0,0,10,0,0,11,0,1,0,.077,.265,.128,.394,.217,19.2,-0.13,,"3,600"
232,김강,2011,한,1B,8,23,19,0,2,1,0,0,3,1,0,0,3,1,0,6,0,0,0,.105,.261,.158,.419,.228,27.3,-0.14,,"2,800"
233,임한용,2011,K,CF,10,21,20,3,3,0,0,0,3,0,1,0,1,0,0,6,0,0,0,.150,.191,.150,.341,.171,-11.9,-0.15,,"2,500"
234,박진원,2011,S,LF,7,11,11,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,.091,.091,.091,.182,.087,-70.6,-0.16,,"2,400"
236,김일경,2011,넥,2B,41,48,47,11,12,0,0,0,12,0,9,7,1,0,0,13,1,0,0,.255,.271,.255,.526,.254,44.1,-0.17,,"8,000"
237,박준서,2011,롯,SS,21,23,20,2,2,1,0,0,3,2,0,0,2,0,0,4,0,1,0,.100,.182,.150,.332,.163,-15.9,-0.18,,"4,000"
238,김다원,2011,K,RF,19,10,9,3,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,.000,.100,.000,.100,.073,-78.8,-0.18,,"3,000"
240,오정복,2011,삼,RF,24,28,26,4,5,1,0,0,6,3,0,0,1,0,0,6,0,1,0,.192,.222,.231,.453,.210,15.3,-0.18,,"5,300"
241,최승환,2011,두,C,17,37,33,1,4,0,0,1,7,5,0,0,2,1,0,6,2,1,0,.121,.194,.212,.407,.194,2.8,-0.18,,"5,100"
243,김성현,2011,S,2B,10,10,9,3,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,.000,.000,.000,.000,.000,-130.1,-0.20,,"2,400"
245,장영석,2011,넥,3B,35,89,78,7,14,2,1,0,18,7,0,0,5,4,0,22,2,1,1,.179,.261,.231,.492,.242,35.9,-0.21,,"3,800"
247,박정준,2011,넥,DH,50,107,92,6,19,7,0,0,26,5,0,1,14,1,0,24,4,0,0,.207,.318,.283,.600,.297,73.5,-0.22,,"4,500"
249,정의윤,2011,L,LF,93,272,242,13,62,9,0,0,71,23,3,2,17,4,1,32,7,6,3,.256,.312,.293,.605,.285,65.5,-0.22,,"4,200"
250,김재환,2011,두,DH,30,56,54,4,10,3,0,2,19,8,1,1,1,1,0,14,2,0,0,.185,.214,.352,.566,.258,46.7,-0.27,,"2,400"
251,추승우,2011,한,RF,19,49,44,5,9,0,0,0,9,1,0,0,2,1,0,12,0,2,0,.205,.255,.205,.460,.221,22.7,-0.28,,"4,600"
252,심광호,2011,L,C,25,39,35,1,4,1,0,0,5,1,0,0,1,2,0,15,1,1,0,.114,.184,.143,.327,.165,-16.8,-0.28,,"5,000"
253,김재호,2011,두,SS,57,122,109,6,20,5,1,0,27,9,1,1,7,2,0,15,4,2,2,.183,.242,.248,.489,.232,29.0,-0.31,,"5,200"
255,용덕한,2011,두,C,60,52,47,3,7,2,0,0,9,2,0,0,0,2,0,8,1,3,0,.149,.184,.191,.375,.172,-12.2,-0.34,,"4,000"
256,오선진,2011,한,2B,68,120,107,15,22,3,0,0,25,7,3,3,5,4,0,21,3,3,1,.206,.265,.234,.499,.240,35.8,-0.34,,"3,300"
257,박진환,2011,롯,2B,11,26,25,2,2,1,0,0,3,2,0,0,0,0,0,6,0,1,0,.080,.080,.120,.200,.088,-66.1,-0.38,,"2,400"
259,윤진호,2011,L,SS,75,99,88,11,14,4,0,0,18,2,2,1,6,0,0,26,3,5,0,.159,.213,.205,.417,.194,3.2,-0.54,,"2,600"
260,김주형,2011,K,1B,88,300,271,23,54,14,0,9,95,40,1,0,17,4,0,71,6,7,1,.199,.256,.351,.607,.275,58.9,-0.66,,"2,500"
261,김연훈,2011,S,2B,84,170,149,15,28,3,0,1,34,13,2,6,7,6,0,40,4,6,2,.188,.250,.228,.478,.227,26.0,-0.83,,"7,000"
262,강병식,2011,넥,DH,77,189,167,16,29,8,1,2,45,17,2,0,15,2,0,53,3,4,1,.174,.249,.269,.518,.244,37.5,-0.98,,"8,000"
263,박재홍,2011,S,DH,74,187,161,11,30,8,0,1,41,12,4,1,15,0,0,36,2,7,4,.186,.250,.255,.505,.234,30.3,-1.15,,"40,000"
1,강정호,2012,넥,SS,124,519,436,77,137,32,0,25,244,82,21,5,71,6,8,78,16,1,5,.314,.413,.560,.973,.438,179.8,8.23,,"18,000"
2,박석민,2012,삼,3B,127,549,443,79,138,19,3,23,232,91,2,3,72,27,5,83,8,2,5,.312,.433,.524,.957,.438,179.9,7.89,,"18,000"
3,최정,2012,S,3B,130,553,474,85,142,33,1,26,255,84,20,8,49,21,7,98,8,3,6,.300,.386,.538,.923,.416,164.7,7.29,,"28,000"
4,김태균,2012,한,1B,126,513,416,61,151,24,0,16,223,80,3,1,81,11,8,69,11,0,5,.363,.474,.536,1.010,.463,195.6,6.97,,"150,000"
5,박병호,2012,넥,1B,133,560,469,76,136,34,0,31,263,105,20,9,73,11,3,111,6,0,7,.290,.393,.561,.954,.430,174.5,6.51,,"6,200"
6,박용택,2012,L,CF,127,556,499,82,152,34,3,11,225,76,30,8,42,7,1,66,9,1,7,.305,.362,.451,.813,.377,136.9,5.86,,"35,000"
7,정성훈,2012,L,3B,107,438,365,50,113,27,3,12,182,53,3,3,65,1,2,62,13,2,5,.310,.411,.499,.909,.416,164.8,5.50,,"35,000"
8,이승엽,2012,삼,1B,126,556,488,84,150,28,2,21,245,85,6,0,59,4,4,101,10,1,4,.307,.384,.502,.886,.406,157.5,5.47,,"80,000"
9,강민호,2012,롯,C,119,454,400,41,109,21,0,19,187,66,0,1,44,8,2,97,9,0,2,.273,.355,.468,.822,.380,139.2,5.00,,"30,000"
10,이용규,2012,K,CF,125,580,491,86,139,14,2,2,163,37,44,12,66,10,0,38,9,10,3,.283,.377,.332,.709,.340,111.3,4.50,,"30,000"
11,이호준,2012,S,DH,127,504,426,55,128,26,0,18,208,78,3,3,72,5,5,90,10,0,1,.300,.407,.488,.895,.414,163.1,4.45,,"25,000"
12,김선빈,2012,K,SS,126,532,441,63,124,19,2,5,162,55,30,12,58,2,0,48,9,25,6,.281,.363,.367,.730,.332,105.8,3.88,,"11,000"
13,김원섭,2012,K,LF,120,472,386,60,117,21,4,3,155,61,8,4,69,2,1,54,12,12,3,.303,.409,.402,.810,.376,136.9,3.81,,"13,000"
14,안치홍,2012,K,2B,132,558,489,60,141,31,2,3,185,64,20,3,42,6,4,74,12,14,7,.288,.347,.378,.726,.332,105.6,3.72,,"12,500"
15,손아섭,2012,롯,RF,132,556,503,61,158,26,0,5,199,58,10,5,41,6,4,79,7,2,4,.314,.370,.396,.766,.359,124.7,3.59,,"13,000"
16,서건창,2012,넥,2B,127,501,433,70,115,21,10,1,159,40,39,12,45,7,0,43,4,13,3,.266,.342,.367,.709,.328,102.9,3.51,,"2,400"
17,오지환,2012,L,SS,133,540,462,66,115,22,2,12,177,53,23,14,55,6,4,122,6,9,8,.249,.332,.383,.715,.328,102.8,3.50,,"4,800"
18,최진행,2012,한,LF,120,471,395,59,98,26,0,17,175,55,6,3,66,6,3,109,11,0,4,.248,.361,.443,.804,.373,133.3,3.44,,"15,000"
19,양의지,2012,두,C,122,416,359,39,100,22,1,5,139,27,1,2,37,10,2,51,17,9,1,.279,.361,.387,.748,.347,116.2,3.43,,"12,500"
20,최형우,2012,삼,LF,125,531,461,51,125,27,1,14,196,77,2,1,55,5,3,76,20,0,10,.271,.348,.425,.774,.358,123.8,3.21,,"30,000"
21,나지완,2012,K,LF,124,480,398,40,109,17,1,11,161,56,7,3,56,13,4,93,9,8,5,.274,.377,.405,.782,.362,126.7,3.17,,"12,500"
22,김상수,2012,삼,SS,129,489,419,64,115,18,4,2,147,36,25,11,41,7,1,56,8,16,6,.274,.345,.351,.695,.321,97.5,3.12,,"12,500"
23,진갑용,2012,삼,C,114,349,313,27,96,15,1,6,131,57,0,0,17,7,1,46,6,10,2,.307,.354,.419,.773,.352,119.5,3.10,,"40,000"
24,전준우,2012,롯,CF,122,520,459,63,116,22,4,7,167,38,21,8,45,7,0,103,16,6,3,.253,.327,.364,.691,.324,100.1,2.99,,"13,000"
25,정근우,2012,S,2B,127,534,467,53,124,13,4,8,169,46,22,12,47,6,3,33,10,12,2,.266,.339,.362,.701,.325,100.5,2.93,,"31,000"
26,김주찬,2012,롯,LF,118,488,435,62,128,27,3,5,176,39,32,13,30,7,1,48,7,11,5,.294,.346,.405,.751,.344,113.7,2.88,,"27,000"
27,박한이,2012,삼,RF,111,463,388,61,118,19,4,1,148,51,4,6,58,1,3,72,8,13,3,.304,.393,.381,.775,.358,123.9,2.84,,"30,000"
28,조동찬,2012,삼,2B,94,313,270,40,77,15,2,6,114,39,12,3,28,6,0,68,3,6,2,.285,.363,.422,.785,.361,125.8,2.84,,"11,000"
29,이대수,2012,한,SS,118,425,376,36,105,23,4,4,148,48,5,1,27,3,0,57,9,14,5,.279,.329,.394,.722,.327,101.9,2.81,,"14,000"
30,이진영,2012,L,RF,105,412,365,39,112,18,0,4,142,55,4,2,44,1,2,41,8,0,2,.307,.381,.389,.770,.366,129.2,2.79,,"55,000"
31,김현수,2012,두,LF,122,491,437,47,127,17,1,7,167,65,6,3,46,3,2,50,9,0,5,.291,.359,.382,.741,.350,118.2,2.76,,"30,000"
32,홍성흔,2012,롯,DH,113,443,390,48,114,20,0,15,179,74,4,5,47,2,3,83,10,1,3,.292,.369,.459,.828,.382,140.8,2.71,,"40,000"
33,이병규,2012,L,1B,69,270,223,23,71,17,0,2,94,21,8,3,43,3,0,54,2,1,0,.318,.435,.422,.857,.408,158.9,2.62,,"60,000"
33,이병규,2012,L,1B,69,270,223,23,71,17,0,2,94,21,8,3,43,3,0,54,2,1,0,.318,.435,.422,.857,.408,158.9,2.62,,"4,500"
41,이병규,2012,L,RF,118,455,420,52,126,25,1,5,168,41,5,7,22,2,1,58,18,5,6,.300,.333,.400,.733,.339,110.1,1.89,,"60,000"
41,이병규,2012,L,RF,118,455,420,52,126,25,1,5,168,41,5,7,22,2,1,58,18,5,6,.300,.333,.400,.733,.339,110.1,1.89,,"4,500"
34,황재균,2012,롯,3B,133,504,448,42,122,19,1,4,155,51,26,8,38,5,3,81,10,11,2,.272,.335,.346,.681,.317,94.7,2.61,,"15,000"
35,이택근,2012,넥,CF,94,391,345,54,95,20,1,8,141,55,13,8,31,3,2,30,10,6,6,.275,.335,.409,.744,.340,111.1,2.55,,"70,000"
36,장성호,2012,한,1B,130,501,429,57,113,28,0,9,168,52,2,3,67,2,1,63,11,1,2,.263,.364,.392,.756,.358,123.2,2.50,,"13,000"
37,배영섭,2012,삼,CF,122,479,412,64,101,15,2,2,126,34,27,6,48,9,0,69,4,7,3,.245,.335,.306,.641,.308,88.8,2.42,,"7,000"
38,윤석민,2012,두,3B,109,320,289,25,84,9,2,10,127,48,2,1,18,2,0,54,12,3,8,.291,.328,.439,.768,.350,118.0,2.29,,"4,100"
39,조인성,2012,S,C,104,307,284,32,77,13,0,9,117,40,0,1,16,2,1,60,5,3,2,.271,.313,.412,.725,.333,106.4,2.24,,"40,000"
40,이원석,2012,두,3B,107,372,325,36,87,13,2,8,128,42,1,1,30,5,4,35,16,10,2,.268,.337,.394,.731,.331,105.1,2.06,,"8,400"
42,김강민,2012,S,CF,123,474,427,49,116,20,0,5,151,31,11,10,29,4,0,72,7,11,3,.272,.322,.354,.675,.314,92.6,1.88,,"19,000"
43,윤요섭,2012,L,C,75,196,171,17,51,7,0,2,64,19,3,2,16,6,1,35,9,1,2,.298,.374,.374,.749,.355,121.7,1.74,,"4,200"
44,김경언,2012,한,CF,110,313,268,25,65,14,2,4,95,31,7,4,39,1,2,73,1,4,1,.243,.340,.354,.694,.326,101.2,1.73,,"4,000"
45,정형식,2012,삼,CF,118,325,274,44,65,11,3,4,94,19,22,4,30,6,0,48,5,12,3,.237,.323,.343,.666,.307,87.6,1.72,,"4,000"
46,최희섭,2012,K,1B,80,301,246,31,62,17,0,7,100,42,1,1,50,2,5,53,9,0,3,.252,.379,.407,.785,.366,129.7,1.72,,"17,000"
47,오선진,2012,한,3B,110,446,399,33,105,18,3,3,138,41,14,9,25,7,0,65,7,13,2,.263,.316,.346,.662,.306,87.7,1.69,,"3,800"
48,조성환,2012,롯,2B,103,390,345,40,96,14,0,3,119,33,5,2,28,1,0,58,7,14,2,.278,.332,.345,.677,.312,91.7,1.66,,"20,000"
50,김민성,2012,넥,3B,71,254,219,24,62,9,0,4,83,22,7,2,17,6,0,58,2,8,4,.283,.346,.379,.725,.332,105.7,1.57,,"7,500"
51,이범호,2012,K,3B,42,171,140,13,41,7,0,2,54,19,1,0,27,1,2,23,3,0,3,.293,.404,.386,.789,.373,134.9,1.55,,"49,500"
52,박정권,2012,S,1B,122,472,416,61,106,18,1,12,162,59,4,6,43,4,2,80,7,6,3,.255,.328,.389,.718,.332,105.8,1.43,,"19,500"
53,오재원,2012,두,2B,77,213,188,29,53,7,3,0,66,17,14,2,17,0,1,43,4,6,2,.282,.338,.351,.689,.317,94.8,1.34,,"14,500"
54,최주환,2012,두,2B,81,238,210,29,57,11,2,2,78,22,4,3,18,3,0,23,2,6,1,.271,.336,.371,.708,.327,102.3,1.33,,"2,500"
55,김동주,2012,두,3B,66,245,223,18,65,5,0,2,76,27,3,1,16,2,0,24,7,0,4,.291,.339,.341,.680,.325,100.3,1.25,,"70,000"
56,고영민,2012,두,2B,58,173,151,33,40,10,1,3,61,26,7,1,13,3,0,28,5,5,0,.265,.335,.404,.739,.336,108.5,1.25,,"8,000"
57,박기남,2012,K,3B,99,274,225,28,57,16,0,2,79,25,1,0,27,5,0,34,1,13,4,.253,.341,.351,.692,.315,93.7,1.23,,"7,000"
58,손시헌,2012,두,SS,86,312,272,24,67,11,1,5,95,31,4,2,21,4,0,40,12,11,4,.246,.306,.349,.655,.299,82.4,1.20,,"19,700"
59,고동진,2012,한,RF,110,334,281,32,76,12,0,3,97,29,8,9,38,5,1,48,10,10,0,.270,.367,.345,.713,.334,107.0,1.18,,"7,000"
60,이종욱,2012,두,CF,121,497,437,57,105,17,1,0,124,39,21,8,43,3,2,43,2,9,5,.240,.309,.284,.593,.282,70.3,1.14,,"20,500"
61,한상훈,2012,한,2B,112,344,272,41,61,11,1,3,83,29,7,8,49,5,1,58,8,17,1,.224,.352,.305,.657,.307,88.2,1.13,,"12,000"
62,차일목,2012,K,C,88,251,207,25,53,5,0,0,58,15,2,2,29,3,0,34,12,10,2,.256,.353,.280,.633,.302,84.0,1.12,,"12,000"
63,강봉규,2012,삼,LF,102,274,235,30,60,10,1,6,90,38,5,3,28,2,1,49,5,3,6,.255,.332,.383,.715,.331,104.5,1.11,,"15,000"
64,안치용,2012,S,LF,92,232,198,23,44,10,1,6,74,23,3,0,31,1,0,66,3,2,0,.222,.330,.374,.704,.332,105.7,1.06,,"8,500"
65,박준서,2012,롯,2B,87,207,182,21,50,9,3,2,71,12,5,1,11,1,0,33,2,12,1,.275,.318,.390,.708,.312,91.8,1.03,,"3,500"
66,정의윤,2012,L,LF,81,256,233,19,66,18,1,2,92,27,2,2,13,3,1,34,4,3,4,.283,.324,.395,.719,.330,104.3,0.98,,"5,000"
67,김성현,2012,S,SS,88,191,163,28,39,8,3,2,59,14,6,2,12,5,0,26,2,11,0,.239,.311,.362,.673,.301,83.7,0.94,,"2,400"
68,김민우,2012,넥,3B,69,230,197,20,45,6,2,5,70,25,5,4,22,3,1,49,2,6,2,.228,.313,.355,.668,.307,88.0,0.87,,"9,500"
69,이지영,2012,삼,C,54,145,135,10,41,3,0,0,44,13,0,0,4,4,0,16,4,2,0,.304,.343,.326,.669,.319,96.3,0.87,,"3,000"
70,최윤석,2012,S,SS,109,213,170,17,39,1,0,1,43,15,6,5,33,2,0,36,4,7,1,.229,.359,.253,.612,.301,83.6,0.76,,"5,000"
71,박재홍,2012,S,RF,46,120,104,16,26,5,0,5,46,18,0,1,14,1,0,25,3,0,1,.250,.342,.442,.784,.364,128.4,0.75,,"20,000"
72,박종윤,2012,롯,1B,121,459,416,41,107,19,4,9,161,47,5,2,22,5,5,64,10,15,1,.257,.302,.387,.689,.308,88.5,0.72,,"7,500"
73,오윤,2012,넥,LF,94,208,173,16,40,3,1,3,54,20,5,2,29,3,0,41,7,3,0,.231,.351,.312,.663,.322,98.2,0.70,,"4,000"
74,정상호,2012,S,C,78,206,176,13,38,12,0,4,62,24,0,2,15,4,1,61,3,8,3,.216,.288,.352,.640,.288,74.3,0.67,,"13,000"
75,강동우,2012,한,RF,76,290,257,35,65,16,1,2,89,22,1,2,26,0,0,21,5,5,2,.253,.319,.346,.666,.311,91.2,0.66,,"20,000"
76,정수빈,2012,두,CF,101,357,315,46,74,11,7,0,99,32,24,6,18,3,1,46,5,19,2,.235,.281,.314,.595,.266,59.3,0.66,,"9,000"
77,정수성,2012,넥,RF,87,244,203,37,44,7,3,2,63,9,19,9,29,5,1,42,1,6,1,.217,.328,.310,.638,.302,84.4,0.63,,"4,200"
78,박진만,2012,S,SS,57,161,138,12,29,7,1,5,53,19,3,1,14,0,0,27,2,8,1,.210,.281,.384,.665,.294,78.9,0.62,,"25,000"
79,김상현,2012,K,RF,32,126,116,17,30,9,0,4,51,17,1,2,6,3,0,26,3,1,0,.259,.312,.440,.752,.346,115.9,0.61,,"20,000"
81,최준석,2012,두,1B,89,278,248,15,62,3,1,6,85,30,1,0,25,2,0,47,9,2,1,.250,.323,.343,.665,.316,94.6,0.51,,"17,000"
82,서동욱,2012,L,2B,103,324,273,32,59,9,3,0,74,17,3,2,32,7,1,78,7,10,2,.216,.312,.271,.583,.278,67.4,0.49,,"8,500"
83,최승환,2012,한,C,24,53,46,3,13,1,0,1,17,6,0,0,5,2,0,11,2,0,0,.283,.377,.370,.747,.361,125.3,0.48,,"5,300"
84,이여상,2012,한,3B,86,211,182,18,43,7,0,3,59,19,7,2,15,2,0,40,5,12,0,.236,.302,.324,.626,.283,72.0,0.47,,"5,000"
85,최동수,2012,L,1B,94,287,252,20,70,8,0,1,81,37,0,1,26,3,3,29,6,1,5,.278,.346,.321,.668,.317,95.0,0.46,,"15,000"
88,허경민,2012,두,2B,92,173,154,28,41,8,0,0,49,14,9,8,7,5,0,17,7,6,1,.266,.317,.318,.636,.295,79.9,0.37,,"2,500"
90,손주인,2012,삼,2B,96,167,146,11,36,6,2,0,46,17,1,1,10,3,0,15,3,7,1,.247,.306,.315,.621,.286,72.9,0.34,,"5,500"
94,백승룡,2012,한,2B,33,62,52,3,12,1,0,0,13,3,3,0,6,3,0,20,0,1,0,.231,.344,.250,.594,.297,81.5,0.25,,"3,000"
95,오재필,2012,한,CF,46,83,70,10,15,1,0,1,19,5,6,1,9,1,0,26,0,3,0,.214,.313,.271,.584,.279,69.0,0.24,,"3,000"
96,김태완,2012,L,2B,58,168,141,16,31,5,0,2,42,14,0,1,17,2,0,21,4,7,1,.220,.311,.298,.608,.284,71.9,0.24,,"7,000"
97,허도환,2012,넥,C,94,237,210,11,41,11,0,1,55,14,0,0,15,7,0,62,5,5,0,.195,.272,.262,.534,.256,52.5,0.23,,"4,200"
98,손용석,2012,롯,2B,43,70,64,3,17,2,0,0,19,5,0,0,5,1,0,13,1,0,0,.266,.329,.297,.625,.305,86.8,0.23,,"3,200"
99,유한준,2012,넥,RF,74,274,246,22,59,11,1,3,81,25,3,1,19,2,1,36,11,6,1,.240,.299,.329,.628,.291,77.1,0.22,,"12,500"
101,최훈락,2012,K,CF,25,35,28,5,7,1,0,0,8,1,0,0,0,6,0,11,0,0,1,.250,.371,.286,.657,.331,105.0,0.20,,"3,200"
102,김일경,2012,L,2B,44,94,82,10,18,2,0,1,23,12,4,1,9,0,0,18,2,3,0,.220,.297,.280,.577,.273,64.1,0.14,,"7,000"
103,유재신,2012,넥,3B,58,96,85,14,20,2,2,0,26,7,5,2,6,0,0,20,0,4,1,.235,.283,.306,.589,.268,60.5,0.14,,"2,400"
104,최재훈,2012,두,C,69,104,91,9,19,4,0,1,26,8,0,0,4,4,0,17,1,4,1,.209,.270,.286,.556,.258,53.6,0.13,,"2,500"
105,임재철,2012,두,RF,66,148,136,16,33,4,2,2,47,14,4,2,8,0,0,25,7,3,1,.243,.283,.346,.628,.289,75.4,0.13,,"15,000"
106,양영동,2012,L,RF,72,82,71,23,14,2,1,0,18,4,12,0,7,1,0,14,1,3,0,.197,.279,.254,.532,.252,49.6,0.13,,"3,000"
107,김동한,2012,두,2B,10,8,8,3,3,0,0,0,3,0,2,0,0,0,0,2,0,0,0,.375,.375,.375,.750,.358,124.0,0.11,,"2,400"
108,임훈,2012,S,RF,117,348,314,36,84,8,4,0,100,26,3,5,18,1,0,56,7,14,1,.268,.308,.318,.627,.288,74.3,0.11,,"8,500"
109,강명구,2012,삼,2B,72,11,10,16,1,0,0,0,1,0,15,3,1,0,0,1,1,0,0,.100,.182,.100,.282,.152,-21.0,0.11,,"6,000"
110,김재호,2012,두,SS,84,200,177,23,38,2,2,0,44,11,3,3,16,2,0,31,5,5,0,.215,.287,.249,.536,.258,53.5,0.10,,"5,700"
111,추승우,2012,한,RF,18,59,52,4,9,5,1,0,16,8,3,0,6,1,0,11,1,0,0,.173,.271,.308,.579,.278,68.1,0.07,,"4,200"
114,이준호,2012,K,LF,113,295,255,25,58,12,4,0,78,21,4,4,29,0,0,48,5,8,3,.227,.303,.306,.609,.285,72.0,0.06,,"2,600"
116,김종호,2012,삼,LF,22,14,12,3,3,0,0,0,3,0,1,0,1,1,0,3,0,0,0,.250,.357,.250,.607,.310,89.9,0.06,,"2,800"
118,홍명찬,2012,S,3B,5,5,5,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800,.382,140.9,0.05,,"2,400"
120,조재호,2012,S,LF,4,3,3,2,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,.333,.333,.667,1.000,.450,188.8,0.04,,"3,000"
121,채태인,2012,삼,1B,54,159,135,15,28,7,0,1,38,9,1,1,21,2,0,35,2,0,1,.207,.321,.281,.602,.298,81.4,0.04,,"11,000"
122,안정광,2012,S,3B,6,16,15,1,4,1,0,0,5,0,0,1,1,0,0,4,0,0,0,.267,.313,.333,.646,.308,88.9,0.02,,"2,600"
123,김동명,2012,삼,C,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,.359,124.7,0.02,,"2,500"
124,양종민,2012,롯,SS,2,4,4,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,.250,.250,.250,.500,.239,40.2,0.02,,"3,200"
126,정원석,2012,한,1B,7,5,2,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,.000,.600,.000,.600,.431,,0.01,,"5,000"
127,김도현,2012,S,RF,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,400"
,송창식,2012,한,P,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"4,500"
132,한기주,2012,K,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"11,000"
,이정훈,2012,넥,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"8,200"
,유동훈,2012,K,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"15,000"
,박정진,2012,한,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"13,000"
,신정락,2012,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"3,500"
,김창훈,2012,두,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"3,100"
,우규민,2012,L,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"6,500"
,정민혁,2012,한,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,600"
,오준형,2012,K,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"3,300"
,한희,2012,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"7,500"
,이용훈,2012,롯,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"4,500"
,정대훈,2012,한,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,400"
