No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
83,장재중,1997,쌍,C,33,27,24,6,6,1,0,3,16,5,1,0,2,0,0,5,0,1,0,.250,.308,.667,.974,.400,152.7,0.39,,"2,000"
86,김호,1997,쌍,SS,126,405,337,38,67,8,3,5,96,33,12,9,45,1,0,84,9,19,3,.199,.293,.285,.578,.262,57.2,0.35,,"5,600"
87,박종호,1997,L,2B,65,199,160,16,35,4,2,0,43,11,2,2,24,5,0,26,4,9,1,.219,.337,.269,.606,.283,71.0,0.35,,"4,500"
88,박정태,1997,롯,2B,102,384,341,33,78,10,2,3,101,40,2,3,33,0,0,33,15,5,5,.229,.293,.296,.589,.273,65.6,0.32,,"6,800"
89,정기창,1997,한,,39,89,79,6,20,1,1,3,32,16,0,2,7,1,1,14,5,0,2,.253,.315,.405,.720,.320,97.5,0.32,,"2,400"
90,장성호,1997,해,1B,103,334,314,36,84,14,1,4,112,35,2,2,13,4,0,46,7,3,0,.268,.305,.357,.662,.303,85.7,0.32,,"2,500"
92,유필선,1997,롯,,29,62,53,9,13,4,0,0,17,4,0,1,5,4,0,15,0,0,0,.245,.355,.321,.676,.325,100.8,0.27,,"2,000"
93,박재벌,1997,해,,76,120,96,16,20,4,0,1,27,10,7,4,12,7,0,9,4,3,2,.208,.333,.281,.615,.292,78.2,0.26,,"3,800"
94,조효상,1997,한,,5,13,12,4,5,0,1,0,7,2,0,0,0,1,0,4,0,0,0,.417,.462,.583,1.045,.470,200.7,0.23,,"1,700"
95,박경호,1997,쌍,,1,5,5,2,3,0,0,1,6,4,0,0,0,0,0,0,0,0,0,.600,.600,1.200,1.800,.787,420.3,0.22,,"1,900"
97,권오성,1997,해,C,47,93,79,7,18,2,0,0,20,11,0,0,6,4,0,23,0,4,0,.228,.315,.253,.568,.266,61.0,0.20,,"2,000"
98,권준헌,1997,현,3B,75,242,212,19,52,7,0,2,65,25,1,1,17,2,1,35,13,9,2,.245,.305,.307,.611,.275,66.1,0.20,,"5,300"
99,손동일,1997,롯,,15,40,35,4,9,2,0,1,14,4,2,0,3,0,0,11,1,2,0,.257,.316,.400,.716,.310,90.9,0.19,,"2,290"
100,황성관,1997,삼,,98,210,187,28,46,8,2,0,58,10,6,5,10,4,0,27,0,8,1,.246,.297,.310,.607,.273,66.3,0.19,,"2,000"
102,최기문,1997,O,C,75,142,129,14,30,2,1,1,37,10,3,2,5,3,0,23,1,5,0,.233,.277,.287,.564,.256,51.9,0.18,,"2,300"
105,손지환,1997,L,SS,23,23,22,2,7,2,0,0,9,3,0,0,1,0,0,5,2,0,0,.318,.348,.409,.757,.347,116.9,0.18,,"2,000"
106,김도형,1997,O,,11,13,7,0,2,0,0,0,2,1,0,0,1,4,0,0,0,1,0,.286,.583,.286,.869,.426,172.9,0.17,,"2,000"
108,장광호,1997,현,C,81,225,197,20,43,9,1,3,63,13,1,1,12,0,0,24,1,15,1,.218,.262,.320,.582,.249,48.4,0.17,,"5,000"
109,조남기,1997,해,C,24,37,33,4,8,1,0,0,9,2,0,0,3,1,0,6,1,0,0,.242,.324,.273,.597,.289,76.7,0.14,,"1,800"
110,백인호,1997,해,RF,62,121,106,9,26,5,0,1,34,16,0,0,10,2,0,24,1,3,0,.245,.322,.321,.643,.296,81.4,0.14,,"4,500"
