No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary,NextSalary
,À±Áö¿õ,2014,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"3,500","12,500"
,À±Áö¿õ,2015,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"12,500","12,500"
,À±Áö¿õ,2016,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"12,500","9,500"
238,À±ÁøÈ£,2010,L,SS,17,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,.000,.000,.000,.000,.000,-129.9,-0.13,,"2,400","2,600"
259,À±ÁøÈ£,2011,L,SS,75,99,88,11,14,4,0,0,18,2,2,1,6,0,0,26,3,5,0,.159,.213,.205,.417,.194,3.2,-0.54,,"2,600","3,300"
309,À±ÁøÈ£,2015,L,3B,30,13,12,3,1,0,0,0,1,1,1,0,0,0,0,3,0,1,0,.083,.083,.083,.167,.072,-85.0,-0.14,0.08,"3,300","3,300"
321,À±ÁøÈ£,2016,L,SS,34,23,21,3,4,0,0,0,4,0,1,0,0,0,0,6,1,2,0,.190,.191,.190,.381,.164,-28.3,-0.22,0.03,"3,300","4,000"
159,À±ÁøÈ£,2017,L,3B,14,3,3,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,.333,.333,.333,.667,.309,73.1,0.01,-0.13,"4,000","4,200"
113,À±ÅÂ¼ö,2002,µÎ,,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,.425,169.5,0.04,,"2,000","2,000"
182,À±Çö½Ä,2001,L,,19,15,13,3,1,0,0,0,1,1,0,0,2,0,0,4,1,0,0,.077,.200,.077,.277,.161,-28.1,-0.16,,"2,300","2,500"
191,À±Çö½Ä,2002,L,,13,10,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.000,.000,.000,.000,.000,-135.4,-0.23,,"2,500","2,700"
144,À±Çö½Ä,2003,L,,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,-0.04,,"2,700","2,000"
118,À±Çü±¹,2003,S,,4,5,4,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,.250,.400,.250,.650,.330,94.5,0.02,,"2,200","2,200"
209,ÀÌ°æº¹,1997,ÇØ,,27,41,38,2,6,1,0,0,7,7,0,0,3,0,0,5,2,0,0,.158,.220,.184,.404,.198,14.2,-0.24,,"3,600","3,300"
151,ÀÌ°è¼º,1997,»ï,,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.333,.000,.333,.237,41.7,-0.01,,"2,000","2,000"
80,ÀÌ°è¼º,1998,»ï,,15,22,20,1,7,3,0,1,13,5,0,0,1,0,0,3,0,0,1,.350,.364,.650,1.014,.427,171.3,0.29,,"2,000","2,200"
160,ÀÌ°è¼º,1999,½Ö,,18,31,28,2,6,1,0,0,7,1,0,0,2,0,0,11,0,1,0,.214,.267,.250,.517,.236,27.3,-0.13,,"2,200","2,100"
182,ÀÌ°è¼º,2000,»ï,LF,67,146,136,19,32,5,1,2,45,16,2,1,7,0,0,36,2,3,0,.235,.273,.331,.604,.269,52.8,-0.28,,"2,100","2,500"
88,ÀÌ°è¼º,2001,·Ô,,109,335,292,38,71,18,2,4,105,35,6,4,31,0,0,57,3,8,4,.243,.312,.360,.672,.303,69.0,0.40,,"2,500","3,600"
180,ÀÌ°è¼º,2002,·Ô,,69,135,124,13,27,7,0,1,37,7,2,2,10,0,0,30,2,0,1,.218,.274,.298,.573,.262,53.5,-0.14,,"3,600","3,500"
76,ÀÌ°è¼º,2003,·Ô,,59,154,135,8,35,10,0,3,54,18,0,1,12,2,0,32,2,3,2,.259,.325,.400,.725,.322,88.8,0.47,,"3,500","3,800"
158,ÀÌ°è¼º,2004,·Ô,,54,70,56,3,10,0,0,0,10,5,1,0,14,0,2,14,1,0,0,.179,.343,.179,.521,.267,50.4,-0.07,,"3,800","3,300"
109,ÀÌ±Ù¿±,1998,½Ö,2B,53,129,111,8,25,3,0,1,31,8,2,2,11,2,0,21,1,5,0,.225,.307,.279,.586,.267,61.5,0.03,,"3,200","2,900"
147,ÀÌ´ë¼ö,2003,S,,10,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,.000,-141.9,-0.05,,"1,800","2,100"
224,ÀÌ´ë¼ö,2004,S,1B,105,115,103,11,17,2,0,0,19,5,0,1,5,2,0,31,0,4,0,.165,.218,.184,.403,.191,-3.7,-1.14,,"2,100","2,900"
148,ÀÌ´ë¼ö,2005,S,SS,99,70,59,11,12,3,1,0,17,4,1,1,4,3,0,19,2,4,0,.203,.288,.288,.576,.261,49.3,-0.00,,"2,900","4,500"
45,ÀÌ´ë¼ö,2008,µÎ,SS,90,237,213,22,60,9,3,2,81,23,2,4,16,5,0,28,7,2,1,.282,.345,.380,.725,.340,103.5,1.43,,"9,500","8,700"
111,ÀÌ´ë¼ö,2009,µÎ,SS,38,66,61,5,16,4,1,0,22,7,1,1,3,1,0,11,5,1,0,.262,.308,.361,.668,.302,67.1,0.11,,"8,700","8,000"
86,ÀÌ´ë¼ö,2010,ÇÑ,SS,125,416,375,33,87,13,1,7,123,37,2,4,26,6,0,57,4,6,3,.232,.290,.328,.618,.284,62.0,0.46,,"8,000","9,000"
24,ÀÌ´ë¼ö,2011,ÇÑ,SS,122,420,366,46,110,16,3,8,156,50,8,8,31,5,0,64,5,14,4,.301,.360,.426,.786,.354,112.6,3.10,,"9,000","14,000"
29,ÀÌ´ë¼ö,2012,ÇÑ,SS,118,425,376,36,105,23,4,4,148,48,5,1,27,3,0,57,9,14,5,.279,.329,.394,.722,.327,101.9,2.81,,"14,000","14,000"
122,ÀÌ´ë¼ö,2015,S,3B,36,86,72,9,19,3,0,2,28,12,0,1,6,1,0,23,6,6,1,.264,.325,.389,.714,.301,71.5,0.11,-0.46,"35,000","35,000"
331,ÀÌ´ë¼ö,2016,S,,14,15,12,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,1,.000,.133,.000,.133,.100,-69.6,-0.26,-0.27,"35,000","35,000"
192,ÀÌ´ëÇü,2004,L,,13,12,11,1,1,0,0,0,1,0,2,1,0,0,0,4,0,1,0,.091,.091,.091,.182,.079,-82.3,-0.20,,"2,000","2,600"
68,ÀÌ´ëÇü,2005,L,CF,107,142,127,40,34,4,1,0,40,5,37,9,11,1,0,35,2,3,0,.268,.331,.315,.646,.302,78.5,0.84,,"2,600","3,800"
134,ÀÌ´ëÇü,2006,L,CF,87,169,155,23,40,3,0,0,43,4,15,8,5,0,0,35,1,9,0,.258,.281,.277,.559,.253,51.0,-0.01,,"3,800","3,800"
19,ÀÌ´ëÇü,2007,L,CF,125,509,451,68,139,13,1,1,157,31,53,20,38,5,1,54,3,13,2,.308,.367,.348,.715,.334,102.4,3.35,,"3,800","8,000"
43,ÀÌ´ëÇü,2008,L,CF,126,574,523,71,138,5,2,0,147,33,63,15,39,2,1,80,3,9,1,.264,.317,.281,.598,.287,66.9,1.71,,"8,000","9,500"
52,ÀÌ´ëÇü,2009,L,CF,133,597,521,92,146,10,2,2,166,41,64,18,50,0,1,77,8,22,4,.280,.341,.319,.660,.301,66.3,1.37,,"9,500","12,000"
46,ÀÌ´ëÇü,2010,L,CF,130,568,494,73,129,14,2,1,150,43,66,21,58,2,0,76,3,13,1,.261,.341,.304,.644,.305,75.0,1.91,,"12,000","14,000"
63,ÀÌ´ëÇü,2011,L,CF,104,398,354,56,88,11,5,1,112,24,34,17,30,2,0,78,0,11,1,.249,.310,.316,.627,.292,70.3,0.95,,"14,000","8,500"
229,ÀÌ´ëÇü,2012,L,CF,101,291,258,32,46,4,4,1,61,19,25,3,25,1,2,53,5,6,1,.178,.253,.236,.489,.232,35.2,-0.10,,"8,500","8,500"
132,ÀÌ´ëÇü,2013,L,CF,102,204,177,36,42,5,1,1,52,10,13,9,19,1,0,45,1,5,2,.237,.312,.294,.605,.287,62.0,0.12,,"8,500","30,000"
43,ÀÌ´ëÇü,2014,K,CF,126,505,461,75,149,15,9,1,185,40,22,15,35,2,2,57,5,5,2,.323,.372,.401,.773,.353,95.5,2.34,0.16,"30,000","30,000"
45,ÀÌ´ëÇü,2015,k,CF,140,616,546,86,165,23,3,0,194,37,44,14,53,6,0,92,5,10,1,.302,.370,.355,.725,.337,88.9,2.18,1.54,"30,000","30,000"
55,ÀÌ´ëÇü,2016,k,CF,143,654,600,89,192,14,3,1,215,42,37,20,44,2,0,90,6,7,1,.320,.368,.358,.726,.341,86.9,1.75,0.25,"30,000","30,000"
58,ÀÌ´ëÈ£,2002,·Ô,DH,74,281,255,27,71,19,0,8,114,32,1,0,19,7,1,66,6,0,0,.278,.345,.447,.792,.352,116.3,1.06,,"2,000","3,200"
115,ÀÌ´ëÈ£,2003,·Ô,1B,54,173,152,8,37,6,0,4,55,13,0,2,13,6,0,37,3,2,0,.243,.328,.362,.689,.317,85.1,0.05,,"3,200","3,700"
54,ÀÌ´ëÈ£,2004,·Ô,1B,132,514,444,52,110,26,0,20,196,68,4,3,38,20,0,78,21,6,6,.248,.331,.441,.772,.347,104.8,1.57,,"3,700","7,000"
11,ÀÌ´ëÈ£,2005,·Ô,3B,126,512,447,53,119,16,2,21,202,80,1,0,47,15,4,76,12,0,3,.266,.354,.452,.805,.364,122.1,3.98,,"7,000","13,000"
1,ÀÌ´ëÈ£,2006,·Ô,1B,122,499,443,71,149,26,0,26,253,88,0,1,39,16,5,55,11,0,1,.336,.409,.571,.980,.445,192.4,6.52,,"13,000","32,000"
2,ÀÌ´ëÈ£,2007,·Ô,1B,121,514,415,79,139,21,1,29,249,87,1,0,81,13,25,55,9,0,5,.335,.453,.600,1.053,.461,194.2,7.00,,"32,000","36,000"
4,ÀÌ´ëÈ£,2008,·Ô,3B,122,527,435,73,131,23,0,18,208,94,0,1,62,18,4,56,9,0,12,.301,.400,.478,.879,.402,147.1,5.51,,"36,000","36,000"
9,ÀÌ´ëÈ£,2009,·Ô,3B,133,549,478,73,140,28,1,28,254,100,0,0,51,16,3,65,13,0,4,.293,.377,.531,.908,.396,131.3,4.84,,"36,000","39,000"
1,ÀÌ´ëÈ£,2010,·Ô,3B,127,552,478,99,174,13,0,44,319,133,0,2,61,10,6,77,15,0,3,.364,.444,.667,1.111,.482,192.4,8.82,,"39,000","63,000"
20,ÀÌ´ëÈ£,2017,·Ô,1B,142,608,540,73,173,13,0,34,288,111,1,1,50,15,8,84,22,0,3,.320,.391,.533,.925,.400,132.5,3.68,4.25,"250,000","250,000"
73,ÀÌµµÇü,2000,µÎ,C,69,138,125,9,33,6,1,2,47,19,0,0,10,0,0,20,2,1,2,.264,.314,.376,.690,.309,78.1,0.58,,"3,600","4,600"
82,ÀÌµµÇü,2001,µÎ,C,40,93,86,6,22,7,1,2,37,13,0,0,5,2,0,16,4,0,0,.256,.312,.430,.742,.334,89.7,0.52,,"4,600","5,500"
46,ÀÌµµÇü,2002,ÇÑ,C,123,392,365,36,88,15,0,16,151,55,2,1,20,2,2,66,10,2,3,.241,.282,.414,.696,.301,81.6,1.81,,"5,500","6,500"
27,ÀÌµµÇü,2003,ÇÑ,C,125,420,365,40,97,19,0,16,164,58,0,1,37,4,3,46,13,10,4,.266,.337,.449,.786,.340,101.8,2.86,,"6,500","8,500"
64,ÀÌµµÇü,2004,ÇÑ,C,66,183,165,10,43,8,0,6,69,27,0,0,12,2,0,29,6,2,2,.261,.315,.418,.733,.330,93.6,1.07,,"8,500","9,500"
46,ÀÌµµÇü,2005,ÇÑ,DH,113,431,391,43,101,18,1,22,187,72,0,0,30,9,0,75,15,0,1,.258,.325,.478,.803,.360,118.2,1.63,,"9,500","11,500"
40,ÀÌµµÇü,2006,ÇÑ,DH,119,466,426,46,109,22,0,19,188,63,0,2,26,6,0,68,7,5,3,.256,.306,.441,.747,.340,114.1,1.48,,"11,500","15,000"
274,ÀÌµµÇü,2007,ÇÑ,DH,79,199,177,18,33,4,0,6,55,26,0,0,20,1,1,29,11,0,1,.186,.271,.311,.582,.275,62.0,-0.57,,"15,000","11,000"
216,ÀÌµµÇü,2008,ÇÑ,,54,71,67,2,15,1,0,2,22,16,0,0,3,0,0,16,3,0,1,.224,.254,.328,.582,.270,57.1,-0.05,,"11,000","7,000"
19,ÀÌµµÇü,2009,ÇÑ,C,98,320,280,33,89,15,1,12,142,56,0,0,37,2,0,40,11,0,1,.318,.400,.507,.907,.405,136.3,3.50,,"7,000","10,000"
14,ÀÌµ¿¼ö,1999,½Ö,3B,86,357,291,56,93,19,2,19,173,68,2,0,46,14,3,69,9,2,4,.320,.431,.595,1.026,.434,159.6,4.56,,"4,500","6,500"
141,ÀÌµ¿¿í,1999,·Ô,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-126.7,-0.05,,"1,600","2,000"
167,ÀÌµ¿¿í,2000,·Ô,,22,33,32,2,5,2,0,2,13,5,0,0,1,0,0,5,0,0,0,.156,.182,.406,.588,.246,36.6,-0.10,,"2,000","2,000"
170,ÀÌµ¿¿í,2001,·Ô,,9,12,9,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,1,.111,.250,.111,.361,.202,1.5,-0.09,,"2,000","2,000"
75,ÀÌµ¿¿í,2002,·Ô,,79,189,168,14,45,6,1,3,62,20,1,2,10,6,0,34,4,4,1,.268,.330,.369,.699,.311,87.9,0.57,,"2,000","3,100"
,ÀÌµ¿Çö,2011,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"9,000","5,000"
,ÀÌµ¿Çö,2014,L,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"17,000","60,000"
141,ÀÌµ¿ÈÆ,2006,·Ô,C,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-135.9,-0.04,,"2,100","2,100"
212,ÀÌµ¿ÈÆ,2007,·Ô,C,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-138.5,-0.04,,"2,100","2,000"
205,ÀÌµ¿ÈÆ,2008,·Ô,C,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-133.9,-0.02,,"2,000","2,100"
269,ÀÌµ¿ÈÆ,2016,ÇÑ,RF,17,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-133.8,-0.04,-0.06,"2,700","2,800"
360,ÀÌµ¿ÈÆ,2017,ÇÑ,CF,67,145,131,23,29,0,0,0,29,2,4,2,5,1,0,15,2,8,0,.221,.256,.221,.477,.216,12.1,-0.88,-1.03,"2,800","3,300"
218,ÀÌ¸í±â,2008,S,RF,6,13,12,2,3,0,0,0,3,2,0,1,1,0,0,2,0,0,0,.250,.308,.250,.558,.276,59.4,-0.06,,"2,000","2,200"
232,ÀÌ¸í±â,2009,S,RF,4,5,5,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,.200,.200,.200,.400,.187,-11.7,-0.09,,"2,200","2,500"
84,ÀÌ¸í±â,2013,S,LF,26,114,100,21,34,3,2,1,44,11,6,4,9,0,0,22,1,4,1,.340,.391,.440,.831,.375,122.5,0.74,,"2,500","4,000"
51,ÀÌ¸í±â,2014,S,LF,83,314,285,54,105,13,2,4,134,28,8,6,21,1,0,47,7,7,0,.368,.414,.470,.884,.396,127.9,1.90,1.28,"4,000","18,000"
41,ÀÌ¸í±â,2015,S,LF,137,582,521,88,164,30,2,3,207,35,22,10,35,11,0,86,7,11,4,.315,.368,.397,.765,.347,102.3,2.41,0.62,"18,000","18,000"
359,ÀÌ¸í±â,2016,S,LF,99,326,287,29,78,7,4,1,96,22,14,8,23,4,0,37,3,10,2,.272,.332,.334,.667,.306,66.5,-0.42,-1.68,"18,000","15,000"
39,ÀÌ¸í±â,2017,K,RF,115,512,464,79,154,24,4,9,213,63,8,7,28,3,0,57,2,14,3,.332,.372,.459,.831,.361,108.6,2.33,0.76,"15,000","25,000"
23,ÀÌ¸í¼ö,1998,Çö,2B,106,371,327,48,103,13,3,11,155,46,5,6,35,1,0,62,6,4,4,.315,.379,.474,.853,.376,138.1,3.59,,"6,600","9,200"
47,ÀÌ¸í¼ö,1999,Çö,2B,114,400,333,39,99,13,1,5,129,51,3,2,40,1,1,40,9,22,4,.297,.370,.387,.758,.326,87.7,1.46,,"9,200","9,500"
42,ÀÌ¸í¼ö,2000,Çö,2B,85,236,206,26,69,10,2,4,95,39,1,3,22,2,1,24,7,3,3,.335,.399,.461,.860,.382,128.1,1.94,,"9,500","10,000"
64,ÀÌ¹ÎÈ£,1997,ÇÑ,3B,56,149,125,15,32,6,0,3,47,13,2,2,11,8,0,29,5,5,0,.256,.354,.376,.730,.330,104.7,0.80,,"3,000","2,500"
66,ÀÌ¹ÎÈ£,1998,ÇÑ,3B,111,319,288,34,68,14,0,7,103,29,3,2,17,2,1,74,3,12,0,.236,.283,.358,.641,.278,70.0,0.52,,"2,500","3,300"
61,ÀÌ¹ÎÈ£,1999,½Ö,2B,96,283,251,31,59,13,3,9,105,31,2,3,26,5,0,77,7,1,0,.235,.319,.418,.738,.325,86.8,0.98,,"3,300","3,400"
,ÀÌ¹ÎÈ£,2015,N,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"13,500","13,500"
,ÀÌ¹ÎÈ£,2016,N,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"13,500","16,000"
,ÀÌ¹ÎÈ£,2017,N,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"16,000","18,800"
204,ÀÌ¹üÈ£,2001,ÇÑ,3B,71,159,138,22,27,7,1,3,45,16,2,4,11,2,0,25,3,7,1,.196,.263,.326,.589,.260,42.4,-0.37,,"2,000","2,400"
37,ÀÌ¹üÈ£,2002,ÇÑ,3B,111,329,296,41,77,20,2,11,134,35,5,1,24,3,1,57,5,4,2,.260,.320,.453,.773,.334,103.6,2.02,,"2,400","3,500"
43,ÀÌ¹üÈ£,2003,ÇÑ,3B,107,384,323,46,77,19,1,11,131,38,2,6,47,5,1,63,6,8,1,.238,.343,.406,.749,.334,97.4,1.71,,"3,500","4,500"
6,ÀÌ¹üÈ£,2004,ÇÑ,3B,133,541,481,80,148,35,3,23,258,74,6,3,48,3,1,80,8,5,4,.308,.371,.536,.908,.401,140.7,5.61,,"4,500","10,500"
5,ÀÌ¹üÈ£,2005,ÇÑ,3B,126,513,444,69,121,27,1,26,228,68,6,2,53,9,0,94,8,1,6,.273,.357,.514,.871,.387,135.8,4.95,,"10,500","16,000"
11,ÀÌ¹üÈ£,2006,ÇÑ,3B,126,497,421,53,108,25,1,20,195,73,0,2,65,7,2,87,11,1,3,.257,.363,.463,.826,.379,141.1,4.75,,"16,000","23,000"
16,ÀÌ¹üÈ£,2007,ÇÑ,3B,126,505,418,57,103,14,0,21,180,63,2,0,72,5,1,73,14,6,4,.246,.361,.431,.791,.363,122.5,3.90,,"23,000","21,000"
9,ÀÌ¹üÈ£,2008,ÇÑ,3B,125,508,434,80,120,21,3,19,204,77,12,1,61,9,0,50,18,0,4,.277,.374,.470,.844,.389,136.1,5.15,,"21,000","33,000"
5,ÀÌ¹üÈ£,2011,K,3B,101,405,318,63,96,21,0,17,168,77,2,0,75,7,3,56,8,0,5,.302,.440,.528,.968,.440,171.1,5.54,,"40,000","49,500"
51,ÀÌ¹üÈ£,2012,K,3B,42,171,140,13,41,7,0,2,54,19,1,0,27,1,2,23,3,0,3,.293,.404,.386,.789,.373,134.9,1.55,,"49,500","43,500"
20,ÀÌ¹üÈ£,2013,K,3B,122,516,436,56,108,17,0,24,197,73,0,2,62,9,3,79,18,4,5,.248,.350,.452,.801,.364,115.0,3.35,,"43,500","45,000"
41,ÀÌ¹üÈ£,2014,K,3B,105,406,350,47,94,23,0,19,174,82,2,2,41,11,1,89,9,0,4,.269,.360,.497,.857,.375,111.8,2.41,1.82,"45,000","65,000"
27,ÀÌ¹üÈ£,2015,K,3B,138,514,437,60,118,25,0,28,227,79,3,4,57,16,1,91,16,0,4,.270,.372,.519,.891,.389,125.2,3.34,2.74,"65,000","65,000"
16,ÀÌ¹üÈ£,2016,K,3B,138,560,484,93,150,23,0,33,272,108,1,1,60,9,7,57,15,0,7,.310,.391,.562,.953,.411,132.9,4.36,3.95,"65,000","65,000"
29,ÀÌ¹üÈ£,2017,K,3B,115,447,382,57,104,14,0,25,193,89,0,0,52,7,3,81,9,0,6,.272,.365,.505,.870,.375,118.2,3.00,2.29,"65,000","65,000"
8,ÀÌº´±Ô,1997,L,CF,126,550,495,82,151,31,8,7,219,69,23,5,43,8,3,50,6,1,3,.305,.368,.442,.810,.366,130.5,5.60,,"2,000","3,800"
24,ÀÌº´±Ô,1998,L,CF,124,544,499,75,139,31,5,9,207,67,11,6,36,3,1,47,13,3,3,.279,.329,.415,.744,.332,106.9,3.48,,"3,800","6,000"
2,ÀÌº´±Ô,1999,L,CF,131,599,550,117,192,43,8,30,341,99,31,3,34,9,6,65,11,2,4,.349,.394,.620,1.014,.426,155.2,8.07,,"6,000","12,000"
10,ÀÌº´±Ô,2000,L,CF,129,595,527,99,170,28,1,18,254,99,14,8,52,5,4,91,15,2,9,.323,.383,.482,.865,.381,128.0,5.17,,"12,000","20,000"
12,ÀÌº´±Ô,2001,L,CF,133,607,542,107,167,30,4,12,241,83,24,8,54,4,6,69,10,4,3,.308,.373,.445,.818,.368,112.8,4.55,,"20,000","20,000"
20,ÀÌº´±Ô,2002,L,CF,109,444,389,54,114,25,0,12,175,43,9,6,50,2,12,57,6,1,2,.293,.375,.450,.825,.358,121.4,3.43,,"20,000","25,000"
54,ÀÌº´±Ô,2003,L,CF,44,178,154,20,43,9,2,5,71,30,1,3,21,1,4,23,0,0,2,.279,.365,.461,.826,.362,117.6,1.27,,"25,000","22,000"
5,ÀÌº´±Ô,2004,L,CF,129,562,496,95,160,26,2,14,232,64,8,4,50,12,1,72,14,3,1,.323,.397,.468,.865,.396,139.4,5.72,,"22,000","30,000"
6,ÀÌº´±Ô,2005,L,CF,119,517,466,62,157,24,2,9,212,75,10,6,34,9,1,62,10,1,7,.337,.388,.455,.843,.385,136.3,4.94,,"30,000","50,000"
104,ÀÌº´±Ô,2008,L,LF,33,86,78,7,18,6,1,1,29,9,0,0,5,2,0,23,3,1,0,.231,.294,.372,.666,.308,81.5,0.11,,"2,000","2,800"
133,ÀÌº´±Ô,2009,L,,16,21,17,0,3,2,0,0,5,4,0,0,4,0,0,10,0,0,0,.176,.333,.294,.628,.305,69.6,0.02,,"2,800","40,000"
62,ÀÌº´±Ô,2010,L,RF,117,451,404,49,117,14,1,9,160,64,3,4,36,1,5,53,11,4,6,.290,.345,.396,.741,.334,94.7,1.16,,"2,800","40,000"
86,ÀÌº´±Ô,2011,L,DH,33,112,88,13,22,3,0,4,37,14,1,1,20,1,0,32,2,1,2,.250,.387,.420,.808,.375,127.4,0.53,,"10,000","60,000"
41,ÀÌº´±Ô,2012,L,RF,118,455,420,52,126,25,1,5,168,41,5,7,22,2,1,58,18,5,6,.300,.333,.400,.733,.339,110.1,1.89,,"4,500","60,000"
79,ÀÌº´±Ô,2013,L,1B,73,202,172,24,50,6,1,2,64,26,1,1,26,3,0,47,0,1,0,.291,.393,.372,.765,.368,118.2,0.99,,"7,500","80,000"
305,ÀÌº´±Ô,2014,L,DH,62,207,195,23,49,6,0,2,61,25,1,1,8,2,0,21,5,2,0,.251,.288,.313,.601,.277,50.3,-0.72,-0.34,"9,300","80,000"
353,ÀÌº´±Ô,2015,L,DH,54,102,96,3,21,7,0,1,31,9,0,0,5,0,0,18,4,0,1,.219,.255,.323,.578,.261,44.9,-0.47,-0.75,"26,000","15,600"
142,ÀÌº´±Ô,2016,L,,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.944,475.4,0.05,-0.03,"15,600","12,000"
322,ÀÌº´±Ô,2017,L,LF,19,48,44,5,9,0,1,0,11,5,0,0,4,0,0,14,0,0,0,.205,.271,.250,.521,.248,31.7,-0.23,-0.16,"12,000","9,000"
,ÀÌº¸±Ù,2006,Çö,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,200","2,500"
223,ÀÌºÀ¿ì,1997,½Ö,,89,80,76,10,11,3,0,2,20,4,5,0,1,0,0,13,1,3,0,.145,.156,.263,.419,.180,0.4,-0.45,,"2,000","2,000"
110,ÀÌ»óÇö,2004,ÇÑ,,2,6,5,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,.200,.333,.400,.733,.339,99.9,0.03,,"1,800","2,000"
135,ÀÌ»óÈ£,2016,N,2B,15,27,25,1,7,2,0,0,9,1,3,0,0,2,0,4,3,0,0,.280,.333,.360,.693,.326,80.8,0.10,0.19,"4,000","4,800"
84,ÀÌ»óÈ£,2017,N,2B,95,241,227,33,76,8,0,0,84,15,12,2,7,2,0,15,7,5,0,.335,.360,.370,.730,.331,90.0,0.73,-0.47,"4,800","7,500"
277,ÀÌ»óÈÆ,2014,»ï,CF,10,11,10,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,.000,.091,.000,.091,.068,-90.9,-0.21,-0.13,"4,000","3,500"
327,ÀÌ»óÈÆ,2015,»ï,RF,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,.000,.000,.000,.000,.000,-132.4,-0.22,-0.17,"3,500","3,500"
262,ÀÌ¼º°ï,2017,µÎ,LF,4,5,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,.200,.200,.200,.400,.185,-8.7,-0.05,-0.00,"2,800","3,000"
103,ÀÌ¼º¿­,2006,L,DH,56,143,120,13,26,8,0,2,40,13,2,1,11,8,0,46,2,1,3,.217,.317,.333,.650,.308,91.6,0.11,,"3,200","3,000"
119,ÀÌ¼º¿­,2009,µÎ,DH,31,79,69,7,17,3,0,2,26,5,2,0,7,3,0,28,0,0,0,.246,.342,.377,.719,.333,88.5,0.08,,"4,200","3,600"
29,ÀÌ¼º¿­,2010,µÎ,RF,129,484,419,77,110,27,1,24,211,86,6,3,40,13,0,136,6,9,3,.263,.343,.504,.847,.369,118.0,2.84,,"3,600","8,500"
55,ÀÌ¼º¿­,2013,³Ø,RF,92,329,284,42,67,12,0,18,133,48,1,2,23,17,1,115,2,3,2,.236,.328,.468,.797,.359,111.6,1.54,,"7,200","11,000"
80,ÀÌ¼º¿­,2016,ÇÑ,LF,86,219,198,29,57,7,3,10,100,29,0,0,11,8,0,62,3,2,0,.288,.350,.505,.855,.374,107.5,0.81,0.53,"25,000","23,000"
44,ÀÌ¼º¿­,2017,ÇÑ,LF,81,318,280,41,86,16,1,21,167,65,3,0,19,9,0,80,0,4,5,.307,.364,.596,.961,.399,131.3,2.14,2.44,"23,000","25,000"
125,ÀÌ¼º¿ì,2009,K,C,13,14,13,2,3,1,0,0,4,2,2,0,1,0,0,3,1,0,0,.231,.286,.308,.593,.277,49.7,0.05,,"2,500","3,000"
