No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary,NextSalary
67,°­ºÀ±Ô,2008,»ï,LF,81,160,134,27,37,8,0,3,54,14,3,4,19,3,0,28,3,3,1,.276,.376,.403,.779,.362,118.3,0.81,,"6,400","6,400"
11,°­ºÀ±Ô,2009,»ï,RF,126,529,449,89,139,24,2,20,227,78,20,3,69,4,2,61,15,6,1,.310,.405,.506,.911,.401,134.1,4.44,,"6,400","14,400"
66,°­ºÀ±Ô,2010,»ï,LF,89,279,232,38,55,12,0,4,79,26,8,0,40,2,0,44,8,4,1,.237,.353,.341,.693,.327,90.0,0.83,,"14,400","11,000"
79,°­ºÀ±Ô,2011,»ï,LF,52,168,146,14,39,7,1,1,51,18,3,1,17,2,0,24,3,0,2,.267,.347,.349,.697,.331,97.2,0.58,,"11,000","15,000"
63,°­ºÀ±Ô,2012,»ï,LF,102,274,235,30,60,10,1,6,90,38,5,3,28,2,1,49,5,3,6,.255,.332,.383,.715,.331,104.5,1.11,,"15,000","15,000"
11,°­¼®Ãµ,1997,ÇÑ,3B,123,506,447,66,144,19,4,7,192,34,17,9,37,7,1,40,9,10,5,.322,.379,.430,.809,.362,126.6,4.47,,"6,000","7,000"
34,°­¼®Ãµ,1998,ÇÑ,3B,125,510,471,58,130,23,5,6,181,42,20,7,16,12,2,51,12,10,1,.276,.316,.384,.700,.310,91.5,2.50,,"7,000","7,300"
32,°­¼®Ãµ,1999,ÇÑ,3B,130,496,433,65,131,22,2,5,172,42,24,10,33,16,5,56,16,10,4,.303,.370,.397,.768,.340,96.6,2.52,,"7,300","9,500"
33,°­¼®Ãµ,2000,ÇÑ,3B,123,487,433,57,124,24,2,7,173,49,15,8,34,10,2,61,18,5,5,.286,.349,.400,.748,.335,96.5,2.35,,"9,500","10,000"
79,°­¼®Ãµ,2001,ÇÑ,3B,120,450,407,44,106,18,1,2,132,45,19,9,29,4,1,68,9,9,1,.260,.315,.324,.640,.296,65.5,0.55,,"10,000","10,000"
49,°­¼®Ãµ,2002,ÇÑ,3B,94,266,242,27,70,11,1,6,101,28,7,3,20,2,0,51,9,1,1,.289,.347,.417,.765,.342,109.1,1.72,,"10,000","10,000"
232,°­¼º¿ì,1997,·Ô,DH,79,191,171,10,34,4,0,0,38,13,2,2,9,2,0,37,4,7,2,.199,.245,.222,.467,.215,26.6,-1.38,,"4,790","4,500"
201,°­¼º¿ì,1998,·Ô,C,73,149,133,9,21,2,2,0,27,5,0,1,5,2,0,23,2,8,1,.158,.199,.203,.402,.178,0.4,-0.77,,"4,500","4,000"
83,°­¼º¿ì,1999,·Ô,C,112,208,191,12,54,6,1,1,65,17,0,1,7,0,0,16,6,8,2,.283,.305,.340,.645,.281,58.3,0.31,,"4,000","5,300"
194,°­¼º¿ì,2000,·Ô,C,51,87,78,5,15,0,0,0,15,3,0,0,4,1,0,11,2,4,0,.192,.241,.192,.433,.202,7.4,-0.39,,"5,300","5,300"
214,°­¼º¿ì,2001,S,C,110,222,188,11,30,7,0,0,37,13,2,0,15,1,0,31,6,18,0,.160,.226,.197,.422,.192,-4.7,-1.26,,"5,300","5,300"
206,°­¼º¿ì,2002,S,C,62,100,88,2,19,2,0,0,21,8,0,0,2,0,0,10,4,8,2,.216,.228,.239,.467,.196,6.5,-0.46,,"5,300","5,000"
108,°­¼º¿ì,2003,S,C,39,59,53,5,14,1,0,0,15,3,0,0,3,1,0,10,3,2,0,.264,.316,.283,.599,.276,56.1,0.08,,"5,000","5,200"
171,°­¼º¿ì,2004,S,C,30,27,25,4,4,1,0,0,5,0,0,0,2,0,0,3,0,0,0,.160,.222,.200,.422,.207,7.8,-0.11,,"5,200","5,200"
348,°­½ÂÈ£,2016,L,SS,18,41,38,4,7,3,0,0,10,3,0,0,2,0,0,12,0,0,1,.184,.220,.263,.483,.222,10.3,-0.31,-0.39,"2,700","3,500"
133,°­½ÅÃ¢,1997,O,,6,4,4,1,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,.500,.500,.500,1.000,.467,201.7,0.03,,"1,800","1,650"
,°­¿µ½Ä,2008,·Ô,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"6,800","10,000"
,°­¿µ½Ä,2009,·Ô,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"10,000","12,000"
,°­¿µ½Ä,2012,·Ô,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"30,000","30,000"
,°­¿µ½Ä,2013,·Ô,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"30,000","30,000"
,°­À±±¸,2017,N,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"8,000","8,500"
162,°­ÀÎ±Ç,1997,ÇÑ,C,84,134,108,8,20,1,0,0,21,6,0,3,14,6,0,22,1,6,0,.185,.313,.194,.507,.249,49.1,-0.03,,"2,400","2,200"
137,°­ÀÎ±Ç,1998,ÇÑ,C,24,7,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,.286,.000,.286,.201,17.1,-0.02,,"2,200","2,000"
80,°­ÀÎ±Ç,1999,ÇÑ,C,55,89,68,6,15,3,0,0,18,3,1,1,16,2,0,15,3,3,0,.221,.384,.265,.648,.314,80.2,0.35,,"2,000","2,500"
62,°­ÀÎ±Ç,2000,ÇÑ,C,81,143,118,17,33,4,0,0,37,9,1,0,21,0,0,25,3,2,2,.280,.383,.314,.697,.330,93.1,0.87,,"2,500","3,000"
53,°­ÀÎ±Ç,2001,ÇÑ,C,104,265,223,20,55,8,0,6,81,28,2,0,30,4,0,50,7,7,1,.247,.345,.363,.708,.325,84.0,1.32,,"3,000","5,500"
91,°­ÀÎ±Ç,2002,µÎ,C,38,56,51,4,15,1,0,0,16,1,2,0,4,0,0,10,0,1,0,.294,.346,.314,.659,.303,81.5,0.31,,"5,500","5,500"
62,°­ÀÎ±Ç,2003,µÎ,C,67,207,179,17,52,9,0,0,61,17,0,3,18,1,0,28,4,7,2,.291,.355,.341,.696,.316,84.2,0.89,,"5,500","6,500"
105,°­ÀÎ±Ç,2004,µÎ,C,79,182,160,13,38,7,0,0,45,23,0,0,10,3,0,35,0,6,3,.238,.290,.281,.571,.264,46.9,0.09,,"6,500","7,700"
96,°­ÀÎ±Ç,2005,µÎ,C,18,34,28,5,8,1,0,0,9,5,0,0,5,1,0,8,0,0,0,.286,.412,.321,.733,.361,119.5,0.31,,"7,700","7,400"
247,°­Á¤È£,2007,Çö,3B,20,15,15,0,2,0,0,0,2,0,0,0,0,0,0,5,1,0,0,.133,.133,.133,.267,.127,-40.9,-0.17,,"2,000","2,000"
30,°­Á¤È£,2008,È÷,SS,116,408,362,36,98,18,1,8,142,47,3,1,31,5,1,65,12,7,3,.271,.334,.392,.726,.334,99.4,2.41,,"2,000","4,400"
20,°­Á¤È£,2011,³Ø,SS,123,504,444,53,125,22,2,9,178,63,4,6,43,9,4,62,12,3,5,.282,.353,.401,.754,.349,109.4,3.43,,"16,000","18,000"
1,°­Á¤È£,2012,³Ø,SS,124,519,436,77,137,32,0,25,244,82,21,5,71,6,8,78,16,1,5,.314,.413,.560,.973,.438,179.8,8.23,,"18,000","30,000"
,°­Áö±¤,2014,³Ø,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,-0.00,"2,400","2,700"
132,°­Áö±¤,2015,³Ø,LF,13,21,18,3,5,0,0,0,5,2,0,0,2,1,0,9,0,0,0,.278,.381,.278,.659,.329,87.9,0.08,0.28,"2,700","2,700"
333,°­Áö±¤,2016,³Ø,LF,40,80,66,10,13,2,0,1,18,7,1,3,11,1,0,24,1,1,1,.197,.317,.273,.589,.286,50.7,-0.26,-0.48,"2,700","3,000"
266,°­Áö±¤,2017,³Ø,RF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-132.7,-0.05,-0.07,"3,000","3,000"
123,°­Áø¼º,2017,N,,28,32,27,5,8,3,0,1,14,5,0,0,4,1,0,4,1,0,0,.296,.406,.519,.925,.408,139.7,0.21,-0.14,"2,700","3,000"
,°­ÇÊ¼±,2000,Çö,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,000","2,000"
229,°­ÇÑ¿ï,2014,K,SS,93,224,208,32,55,5,4,0,68,14,4,2,8,1,0,44,1,6,1,.264,.294,.327,.621,.279,46.8,-0.04,-0.92,"2,400","6,000"
381,°­ÇÑ¿ï,2015,K,SS,90,292,264,30,54,8,3,0,68,12,9,4,13,3,0,51,2,12,0,.205,.250,.258,.508,.229,18.5,-1.39,-1.36,"6,000","6,000"
314,°­ÇÑ¿ï,2016,K,SS,104,322,298,36,81,13,3,0,100,27,7,3,15,0,0,46,2,9,0,.272,.307,.336,.642,.291,55.3,-0.18,-0.74,"6,000","9,000"
162,°­Çõ,1999,µÎ,1B,15,23,20,4,3,2,0,0,5,2,0,0,3,0,0,5,0,0,0,.150,.261,.250,.511,.244,30.9,-0.13,,"2,000","2,000"
104,°­Çõ,2000,µÎ,1B,110,381,342,39,91,21,0,6,130,34,1,2,31,1,0,58,12,2,5,.266,.325,.380,.705,.318,84.1,0.17,,"2,000","3,800"
95,°­Çõ,2001,S,1B,57,224,202,25,51,10,0,7,82,39,0,2,21,1,2,25,4,0,0,.252,.326,.406,.732,.331,87.8,0.18,,"3,800","4,200"
210,°­Çõ,2002,S,1B,31,49,47,3,7,2,0,0,9,2,0,0,2,0,1,13,1,0,0,.149,.184,.191,.375,.163,-16.2,-0.55,,"4,200","3,800"
80,°­Çõ,2003,S,1B,117,219,197,22,58,8,0,4,78,23,1,3,14,3,0,16,5,5,0,.294,.351,.396,.746,.336,98.6,0.44,,"3,800","6,000"
,°æÇåÈ£,2007,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"6,800","6,300"
138,°æÇåÈ£,2008,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"6,300","6,500"
174,°í±â¼º,1997,ÇÑ,,8,6,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.167,.167,.167,.333,.156,-15.3,-0.05,,"2,300","2,100"
100,°íµ¿Áø,2005,ÇÑ,RF,94,291,250,42,50,14,0,3,73,11,11,3,23,16,0,45,4,2,0,.200,.308,.292,.600,.289,71.2,0.20,,"3,400","4,500"
64,°íµ¿Áø,2006,ÇÑ,RF,120,414,370,40,89,14,2,4,119,29,16,4,21,12,1,80,6,6,5,.241,.299,.322,.621,.289,79.1,0.77,,"4,500","8,000"
51,°íµ¿Áø,2007,ÇÑ,RF,124,473,394,68,98,8,5,1,119,37,10,4,50,16,2,67,6,11,2,.249,.355,.302,.657,.313,88.6,1.34,,"8,000","10,000"
75,°íµ¿Áø,2011,ÇÑ,CF,97,222,195,31,49,9,0,3,67,19,3,2,15,5,0,33,5,6,1,.251,.319,.344,.663,.308,81.4,0.66,,"6,000","7,000"
59,°íµ¿Áø,2012,ÇÑ,RF,110,334,281,32,76,12,0,3,97,29,8,9,38,5,1,48,10,10,0,.270,.367,.345,.713,.334,107.0,1.18,,"7,000","8,000"
102,°íµ¿Áø,2013,ÇÑ,RF,93,360,312,31,85,14,0,1,102,31,4,8,34,6,0,54,11,3,5,.272,.350,.327,.677,.326,88.8,0.45,,"8,000","10,000"
303,°íµ¿Áø,2014,ÇÑ,RF,73,213,187,21,45,5,0,1,53,14,0,2,18,2,0,35,2,3,3,.241,.310,.283,.593,.281,45.3,-0.71,-1.49,"10,000","8,000"
191,°í¿µ¹Î,2005,µÎ,,16,18,17,2,2,0,0,0,2,0,0,0,0,1,0,9,0,0,0,.118,.167,.118,.284,.146,-30.7,-0.19,,"2,100","2,100"
32,°í¿µ¹Î,2006,µÎ,2B,116,359,315,38,85,15,5,2,116,29,14,10,24,12,0,59,6,7,1,.270,.344,.368,.712,.331,108.1,2.26,,"2,100","4,200"
8,°í¿µ¹Î,2007,µÎ,2B,126,536,444,89,119,29,1,12,186,66,36,10,61,17,1,105,9,8,6,.268,.373,.419,.792,.365,124.7,4.91,,"4,200","12,000"
10,°í¿µ¹Î,2008,µÎ,2B,126,528,427,84,114,15,3,9,162,70,39,9,74,14,0,109,10,7,6,.267,.388,.379,.767,.363,119.1,4.65,,"12,000","16,000"
57,°í¿µ¹Î,2009,µÎ,2B,85,331,281,59,66,11,3,6,101,29,12,4,33,13,0,76,3,1,3,.235,.339,.359,.699,.325,82.6,1.26,,"16,000","13,500"
71,°í¿µ¹Î,2010,µÎ,2B,100,344,293,53,60,10,1,6,90,35,11,3,34,14,1,67,4,2,1,.205,.316,.307,.623,.297,70.0,0.74,,"13,500","9,500"
103,°í¿µ¹Î,2011,µÎ,2B,93,208,176,31,37,5,1,3,53,16,6,6,18,7,0,50,4,5,2,.210,.305,.301,.607,.287,67.0,0.20,,"9,500","8,000"
56,°í¿µ¹Î,2012,µÎ,2B,58,173,151,33,40,10,1,3,61,26,7,1,13,3,0,28,5,5,0,.265,.335,.404,.739,.336,108.5,1.25,,"8,000","7,500"
120,°í¿µ¹Î,2013,µÎ,2B,10,17,14,3,4,1,0,1,8,1,1,0,3,0,1,5,1,0,0,.286,.412,.571,.983,.424,156.6,0.22,,"7,500","7,500"
96,°í¿µ¹Î,2014,µÎ,2B,52,108,94,18,27,2,0,1,32,7,1,1,11,0,0,18,3,1,2,.287,.355,.340,.696,.325,81.7,0.28,0.15,"7,500","15,000"
292,°í¿µ¿ì,2014,K,SS,21,27,24,4,2,2,0,0,4,1,0,0,1,1,0,6,0,0,1,.083,.148,.167,.315,.150,-35.8,-0.29,-0.44,"2,800","3,200"
358,°í¿µ¿ì,2015,K,2B,82,57,52,17,8,2,0,1,13,4,7,3,4,0,0,15,0,1,0,.154,.214,.250,.464,.212,7.6,-0.54,-0.51,"3,200","6,000"
,°í¿ì¼®,2008,K,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,300","2,300"
279,°íÁ¾¿í,2014,³Ø,LF,8,14,12,2,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,.000,.143,.000,.143,.106,-65.1,-0.21,-0.12,"2,900","7,700"
73,°íÁ¾¿í,2015,³Ø,LF,119,443,407,81,126,25,4,10,189,51,22,14,25,6,1,81,10,4,1,.310,.358,.464,.822,.364,108.7,1.09,1.29,"7,700","7,700"
41,°íÁ¾¿í,2016,³Ø,LF,133,566,527,92,176,22,9,8,240,72,28,14,28,5,1,103,10,1,5,.334,.370,.455,.825,.373,105.4,2.36,4.38,"7,700","12,000"
52,°íÁ¾¿í,2017,³Ø,LF,123,453,426,70,133,24,8,8,197,54,16,4,22,3,2,92,11,0,2,.312,.349,.462,.811,.357,104.3,1.82,0.58,"12,000","11,000"
149,°íÁöÇà,2004,»ï,2B,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-129.6,-0.04,,"10,000","10,000"
144,°íÃ¢¼º,2009,µÎ,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,000","6,000"
,°íÃ¢¼º,2014,N,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,"7,000","6,200"
,°íÈ¿ÁØ,2010,S,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"8,000","10,000"
